2025-11-12 13:03:00.157322, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.173011, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.189000, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.189513, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.205237, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.221158, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.221658, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.237194, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.253297, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.254019, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:03:00.269232, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
