2025-11-12 13:03:03.983108, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.999164, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.999509, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:04.015130, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:04.031161, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:04.031451, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:04.047040, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:04.063194, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:04.063491, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:04.079140, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:04.095179, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:04.095487, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:04.111239, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:04.127260, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:04.127503, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:04.143258, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:04.159307, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:04.175361, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:04.175672, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:04.191334, axes: 0.000 0.000, buttons: 
